section,DataSetId,JourmPatternSections_From_id,JourmPatternSections_From_StopPointRef_id,JourmPatternSections_From_StopPointRef_SequenceNumber,JourmPatternSections_From_StopPointRef,JourmPatternSections_From_TimingStatus_id,JourmPatternSections_From_TimingStatus_SequenceNumber,JourmPatternSections_From_TimingStatus,JourmPatternSections_To_id,JourmPatternSections_To_StopPointRef_id,JourmPatternSections_To_StopPointRef_SequenceNumber,JourmPatternSections_To_StopPointRef,JourmPatternSections_To_TimingStatus_id,JourmPatternSections_To_TimingStatus_SequenceNumber,JourmPatternSections_To_TimingStatus,JourmPatternSections_RouteLinkRef_id,JourmPatternSections_RouteLinkRef,JourmPatternSections_RunTime_id,JourmPatternSections_RunTime
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL48,JPSU95,7,2365,JPSU95,7,OTH,JPTL48,JPSU96,8,3496,JPSU96,8,PTP,JPTL48,RL6,JPTL48,PT0S
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL49,JPSU97,8,3496,JPSU97,8,PTP,JPTL49,JPSU98,9,3482,JPSU98,9,OTH,JPTL49,RL7,JPTL49,PT1M
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL50,JPSU99,9,3482,JPSU99,9,OTH,JPTL50,JPSU100,10,4375,JPSU100,10,OTH,JPTL50,RL8,JPTL50,PT1M
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL51,JPSU101,10,4375,JPSU101,10,OTH,JPTL51,JPSU102,11,4378,JPSU102,11,OTH,JPTL51,RL9,JPTL51,PT1M
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL52,JPSU103,11,4378,JPSU103,11,OTH,JPTL52,JPSU104,12,3798,JPSU104,12,OTH,JPTL52,RL10,JPTL52,PT1M
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL53,JPSU105,12,3798,JPSU105,12,OTH,JPTL53,JPSU106,13,4567,JPSU106,13,OTH,JPTL53,RL11,JPTL53,PT0S
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL54,JPSU107,13,4567,JPSU107,13,OTH,JPTL54,JPSU108,14,2342,JPSU108,14,OTH,JPTL54,RL12,JPTL54,PT1M
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL55,JPSU109,14,2342,JPSU109,14,OTH,JPTL55,JPSU110,15,3646,JPSU110,15,PTP,JPTL55,RL13,JPTL55,PT1M
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL56,JPSU111,15,3646,JPSU111,15,PTP,JPTL56,JPSU112,16,2358,JPSU112,16,OTH,JPTL56,RL14,JPTL56,PT1M
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL57,JPSU113,16,2358,JPSU113,16,OTH,JPTL57,JPSU114,17,2724,JPSU114,17,OTH,JPTL57,RL15,JPTL57,PT1M
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL58,JPSU115,17,2724,JPSU115,17,OTH,JPTL58,JPSU116,18,3697,JPSU116,18,OTH,JPTL58,RL16,JPTL58,PT0S
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL59,JPSU117,18,3697,JPSU117,18,OTH,JPTL59,JPSU118,19,3567,JPSU118,19,OTH,JPTL59,RL17,JPTL59,PT1M
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL60,JPSU119,19,3567,JPSU119,19,OTH,JPTL60,JPSU120,20,2954,JPSU120,20,OTH,JPTL60,RL18,JPTL60,PT1M
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL61,JPSU121,20,2954,JPSU121,20,OTH,JPTL61,JPSU122,21,2793,JPSU122,21,OTH,JPTL61,RL19,JPTL61,PT1M
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL62,JPSU123,21,2793,JPSU123,21,OTH,JPTL62,JPSU124,22,2549,JPSU124,22,OTH,JPTL62,RL20,JPTL62,PT1M
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL63,JPSU125,22,2549,JPSU125,22,OTH,JPTL63,JPSU126,23,4383,JPSU126,23,OTH,JPTL63,RL21,JPTL63,PT0S
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL64,JPSU127,23,4383,JPSU127,23,OTH,JPTL64,JPSU128,24,3565,JPSU128,24,OTH,JPTL64,RL22,JPTL64,PT0S
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL65,JPSU129,24,3565,JPSU129,24,OTH,JPTL65,JPSU130,25,2875,JPSU130,25,PTP,JPTL65,RL23,JPTL65,PT1M
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL66,JPSU131,25,2875,JPSU131,25,PTP,JPTL66,JPSU132,26,2765,JPSU132,26,OTH,JPTL66,RL24,JPTL66,PT0S
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL67,JPSU133,26,2765,JPSU133,26,OTH,JPTL67,JPSU134,27,2526,JPSU134,27,OTH,JPTL67,RL25,JPTL67,PT1M
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL68,JPSU135,27,2526,JPSU135,27,OTH,JPTL68,JPSU136,28,3685,JPSU136,28,OTH,JPTL68,RL26,JPTL68,PT0S
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL69,JPSU137,28,3685,JPSU137,28,OTH,JPTL69,JPSU138,29,2896,JPSU138,29,OTH,JPTL69,RL27,JPTL69,PT1M
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL70,JPSU139,29,2896,JPSU139,29,OTH,JPTL70,JPSU140,30,2732,JPSU140,30,OTH,JPTL70,RL28,JPTL70,PT0S
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL71,JPSU141,30,2732,JPSU141,30,OTH,JPTL71,JPSU142,31,3695,JPSU142,31,OTH,JPTL71,RL29,JPTL71,PT0S
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL72,JPSU143,31,3695,JPSU143,31,OTH,JPTL72,JPSU144,32,2897,JPSU144,32,OTH,JPTL72,RL30,JPTL72,PT1M
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL73,JPSU145,32,2897,JPSU145,32,OTH,JPTL73,JPSU146,33,2437,JPSU146,33,OTH,JPTL73,RL31,JPTL73,PT0S
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL74,JPSU147,33,2437,JPSU147,33,OTH,JPTL74,JPSU148,34,3292,JPSU148,34,OTH,JPTL74,RL32,JPTL74,PT1M
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL75,JPSU149,34,3292,JPSU149,34,OTH,JPTL75,JPSU150,35,4387,JPSU150,35,OTH,JPTL75,RL33,JPTL75,PT0S
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL76,JPSU151,35,4387,JPSU151,35,OTH,JPTL76,JPSU152,36,3952,JPSU152,36,OTH,JPTL76,RL34,JPTL76,PT1M
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL77,JPSU153,36,3952,JPSU153,36,OTH,JPTL77,JPSU154,37,2747,JPSU154,37,PTP,JPTL77,RL35,JPTL77,PT1M
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL78,JPSU155,37,2747,JPSU155,37,PTP,JPTL78,JPSU156,38,3262,JPSU156,38,OTH,JPTL78,RL36,JPTL78,PT0S
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL79,JPSU157,38,3262,JPSU157,38,OTH,JPTL79,JPSU158,39,2686,JPSU158,39,OTH,JPTL79,RL37,JPTL79,PT1M
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL80,JPSU159,39,2686,JPSU159,39,OTH,JPTL80,JPSU160,40,3946,JPSU160,40,OTH,JPTL80,RL38,JPTL80,PT0S
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL81,JPSU161,40,3946,JPSU161,40,OTH,JPTL81,JPSU162,41,2685,JPSU162,41,OTH,JPTL81,RL39,JPTL81,PT1M
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL82,JPSU163,41,2685,JPSU163,41,OTH,JPTL82,JPSU164,42,2679,JPSU164,42,OTH,JPTL82,RL40,JPTL82,PT0S
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL83,JPSU165,42,2679,JPSU165,42,OTH,JPTL83,JPSU166,43,2578,JPSU166,43,OTH,JPTL83,RL41,JPTL83,PT1M
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL84,JPSU167,43,2578,JPSU167,43,OTH,JPTL84,JPSU168,44,2682,JPSU168,44,PTP,JPTL84,RL42,JPTL84,PT1M
JPS3,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL85,JPSU169,1,2465,JPSU169,1,PTP,JPTL85,JPSU170,2,4525,JPSU170,2,PTP,JPTL85,RL1,JPTL85,PT0S
JPS3,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL86,JPSU171,2,4525,JPSU171,2,PTP,JPTL86,JPSU172,4,4278,JPSU172,4,OTH,JPTL86,RL2,JPTL86,PT1M
JPS3,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL87,JPSU173,4,4278,JPSU173,4,OTH,JPTL87,JPSU174,5,3872,JPSU174,5,OTH,JPTL87,RL3,JPTL87,PT0S
JPS3,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL88,JPSU175,5,3872,JPSU175,5,OTH,JPTL88,JPSU176,6,2846,JPSU176,6,PTP,JPTL88,RL4,JPTL88,PT3M
JPS3,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL89,JPSU177,6,2846,JPSU177,6,PTP,JPTL89,JPSU178,7,2365,JPSU178,7,OTH,JPTL89,RL5,JPTL89,PT0S
JPS3,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL90,JPSU179,7,2365,JPSU179,7,OTH,JPTL90,JPSU180,8,3496,JPSU180,8,PTP,JPTL90,RL6,JPTL90,PT1M
JPS3,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL91,JPSU181,8,3496,JPSU181,8,PTP,JPTL91,JPSU182,9,3482,JPSU182,9,OTH,JPTL91,RL7,JPTL91,PT0S
JPS3,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL92,JPSU183,9,3482,JPSU183,9,OTH,JPTL92,JPSU184,10,4375,JPSU184,10,OTH,JPTL92,RL8,JPTL92,PT1M
JPS3,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL93,JPSU185,10,4375,JPSU185,10,OTH,JPTL93,JPSU186,11,4378,JPSU186,11,OTH,JPTL93,RL9,JPTL93,PT1M
JPS3,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL94,JPSU187,11,4378,JPSU187,11,OTH,JPTL94,JPSU188,12,3798,JPSU188,12,OTH,JPTL94,RL10,JPTL94,PT1M
JPS3,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL95,JPSU189,12,3798,JPSU189,12,OTH,JPTL95,JPSU190,13,4567,JPSU190,13,OTH,JPTL95,RL11,JPTL95,PT0S
JPS3,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL96,JPSU191,13,4567,JPSU191,13,OTH,JPTL96,JPSU192,14,2342,JPSU192,14,OTH,JPTL96,RL12,JPTL96,PT1M
JPS3,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL97,JPSU193,14,2342,JPSU193,14,OTH,JPTL97,JPSU194,15,3646,JPSU194,15,PTP,JPTL97,RL13,JPTL97,PT1M
JPS3,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL98,JPSU195,15,3646,JPSU195,15,PTP,JPTL98,JPSU196,16,2358,JPSU196,16,OTH,JPTL98,RL14,JPTL98,PT1M
JPS3,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL99,JPSU197,16,2358,JPSU197,16,OTH,JPTL99,JPSU198,17,2724,JPSU198,17,OTH,JPTL99,RL15,JPTL99,PT1M
JPS3,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL100,JPSU199,17,2724,JPSU199,17,OTH,JPTL100,JPSU200,18,3697,JPSU200,18,OTH,JPTL100,RL16,JPTL100,PT0S
JPS3,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL101,JPSU201,18,3697,JPSU201,18,OTH,JPTL101,JPSU202,19,3567,JPSU202,19,OTH,JPTL101,RL17,JPTL101,PT1M
JPS3,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL102,JPSU203,19,3567,JPSU203,19,OTH,JPTL102,JPSU204,20,2954,JPSU204,20,OTH,JPTL102,RL18,JPTL102,PT1M
